RGS Product Category,RGS Product Category Description
Storage and Warehousing Services,"All storage and warehousing of stock, on behalf of a client as part of their supply chain managment."
Supply Chain Management Services,All general supply chain management and organisation services on behalf of a 3rd party.
Passenger Airlines,"Flights arranged for the mass transit of passengers, by companies that operate aircraft for the transportation of passengers, typically generating revenue from ticket sales, baggage fees, in-flight purchases. "
Private Flights,"Flights chartered on an ad-hoc basis for use by individuals or small groups, such as private jets."
Ocean Logistics,All massed maritime transport and delivery of cargo by ship.
Passenger Ferries,"All mass transit of people by ferry or other boat services. This excludes cruises taken for recreation, or personal marine vehicles sold to individuals for personal use, covered elsewhere in 'Marine Vehicles and Parts'."
Rail Freight Transportation,"The transportation of cargo and commodities by train, which includes services such as bulk cargo transport, intermodal shipping, and specialized freight handling."
Rail Passenger Transportation,"Mass transit of passengers by rail. This includes intercity trains, high-speed rail, monorails, metro systems, tram services, and light rail transit."
Bike and eScooter Rental Services,"Services offering short-term rentals of bicycles and electric scooters, typically charged per minute or hour, often accessible via mobile apps and used for urban transportation and tourism."
Car and LGV Rental,"Rental services for cars, vans and other light goods vehicles, driven by the customer."
HGV Rental,"Rental services for heavy goods vehicles such as trucks and lorries, for use in lroad logistics by third parties."
Road Logistics,"All transit of goods and cargo by roadways. This includes both traditional road logistics and trucking, as well as intermodal or stop-gap road transport of goods as connecting parts of a larger supply chain."
Taxis and Carshare Services,"Revenues derived from taxi, ridehailing, and carsharing services provided for the personal transport of individuals and small groups."
"Tram, Bus, and Coach Services","Revenues derived from the operation of massed public transport on roadways. This includes the operation of bus, coaches, and tramway services."
Airport Services,"All services provided by airports. This includes check-in, baggage handling, and lounge support services as passenger facing services, as well as plane refueling, air traffic control, and rental of runway and hangar space as airline-facing services."
Highways and Autoroute Services,"The operation and management of roadways and services operating on roadways. This includes the provision of parking, revenues from toll routes, and the operation of bus and tram stations."
Railroads and Rail Services,"The operation and management of railways, and supporting station infrastructure. This includes revenues from operating and maintaining the railway itself, as well as from the operations of train maintenance depots, passenger rail stations, and freight rail stations."
Marine Ports and Services,"All marine port and harbour services, handling the boarding of passengers and cargo, as well as ship refueling, maintenance, as well as docking and anchorage services."
Semiconductor Manufacturing Machinery,"Equipment used in the production of semiconductors, including lithography machines, etching systems, ion implantation devices, and inspection tools, crucial for fabricating integrated circuits and microchips."
Solar Panels and Photovoltaics,Manufacture and sale of solar panels for heating and electricity generation. This includes both at-home solar panels as well panels for dedicated solar farms.
Semiconductors and Related Components,"Products that include various types of semiconductors such as integrated circuits, microchips, transistors, and diodes, along with essential components like capacitors, resistors, and inductors used in electronic devices."
Cloud Storage and Computing Solutions,"Cloud computing is the on-demand availability of computer system resources, especially data storage (cloud storage) and computing power, without direct active management by the user."
Digital Payment Solutions and Related Services,"Merchant transaction processing and acquiring services, electronic billing and payment services, electronic funds transfer and debit/credit processing services."
Financial Data Processing and Analytics Software Solutions,"Securities processing, recordkeeping, data and analytics, trading, financing and risk management, regulatory compliance software solutions for financial institutions (e.g. banks, asset and wealth managers, insurance companies,etc.) "
IT Consulting Services,"Consulting includes strategy, management and technology consulting and technology integration consulting."
IT Outsourcing and Maintenance Services,"IT outsourcing is the use of external service providers to effectively deliver IT-enabled business process, integration and maintenance, application service and infrastructure management solutions for business outcomes."
Design and Engineering Simulation Software Solutions,"Graphic design, product design and engineering simulation software solutions."
Enterprise Software Solutions,"Services provided by enterprise software are typically business-oriented tools, such as accounting software, HR and payroll related software solutions, business process management, enterprise content management, customer relationship management, enterprise resource planning, project management, remote collaboration platforms, etc."
Public Sector Software Solutions,"Software solutions to achieve efficiency and greater transparency in public administration, courts, health & human services and public educations"
Operating Systems,"An operating system is system software that manages computer hardware, software resources, and provides common services for computer programs."
Security Software Solutions,Online business and customer security products including identity and information protection
Landline Telephones,Sales of landline telephones. These are phones that use a metal wire or optical fiber as the telephone line for transmission.
Network Switch,Sale of network switches. These are networking hardwares that connect devices on a computer network by using packet switching to receive and forward data to the destination device.
Radios and Other Communications Equipment,Sale of radios and any other otherwise unclassified communications equipment.
Routers and Modems,"Sale of computer hardware devices that transfers data between computers, such as by providing internet access, or from computers to telephones and other communications hardware."
Software and Media Reproducing Equipment,Equipment that enables the copying of software or stored media content. This includes items such as DVD burners.
Switchboard Operators and Telephone Exchanges,"The production and operation of telephone exchanges, switchboards, and other telecommunication hubs."
Circuit Components,Sales comprising of several different electronic components for use in electrical circuits 
Hydrogen Fuel Cells,Sales of Hydrogen fuel cell which use the chemical energy of hydrogen to cleanly and efficiently produce electricity
Sensors,"Sales of devices that detects a physical parameter of interest (e.g. heat, light, sound) and convert it into electrical signal "
Single-Use Batteries,"Single-use batteries are disposable batteries designed to be used once until they are depleted and then discarded, typically including alkaline and lithium types used in common household devices."
Rechargeable Batteries,"Batteries that can be recharged and reused multiple times, commonly used in consumer electronics as well as the energy transition (electric vehicles, energy storage), including types like lithium-ion, nickel-metal hydride, and lead-acid. "
At-Home Electrical Instruments,"Electrical devices and tools used for domestic purposes, including multimeters, voltage testers, circuit finders, and energy monitors, which assist in home electrical maintenance and troubleshooting."
ATMs and Vending Machines,"Sales of automated machines that provide items without need for a human vendor, including ATMs and vending machines."
Barcode and QR Code Scanners,Sales of devices for the purpose of scanning barcodes and QR codes
Industrial and Commercial Lasers,"High-powered lasers used in various applications such as cutting, welding, marking, and engraving materials in industrial settings, as well as in medical procedures and scientific research."
Industrial Diagnostic Gauges,"Sales of instruments used to measure, monitor, and diagnose various parameters like pressure, temperature, flow, and level within industrial processes, essential for ensuring operational safety and efficiency."
Other Electrical Instruments,Sales of otherwise unclassified electrical instruments 
Hardware and Software Distributors,"Companies that specialize in the wholesale distribution of computer hardware components, peripherals, and software products, often providing value-added services such as supply chain management, technical support, and product customization."
Computer Parts and Hardware Peripherals,"Components and external devices used in the construction and enhancement of computer systems, including processors, motherboards, hard drives, keyboards, mice, and printers, essential for building and operating computers."
Computers and Tablets,"All general or personal computer devices such as desktops, laptops, notepads, and tablets."
Mobile Phones,"All mobile phones, both smartphones and ""telecoms-only"" phones."
Printers and Related Supplies,"Commercial, office, and industrial printing equipment, parts and related software services."
"Servers, Mainframes, and High-Performance Computers","All high-performance, experimental, or specialised computer solutions such as servers, supercomputers, and mainframes."
Chemical Components,"All chemical supplies sold for use as building blocks for further chemistry, such as solvents and feedstock. This excludes derived petrochemicals."
Demolitions and Mining Explosives,"All non-military explosives used in building construction, mining, and destructive testing."
"Paints, Pigments, and Coatings","Products used to enhance aesthetic appeal and surface protection of objects and structures, encompassing a wide range of paints, varnishes, enamels, and specialty coatings for both decorative and industrial applications."
Plastics and Petrochemicals,"Plastics and resins sold as an input for manufacture, as well as other derived petrochemicals sold as a feedstock in product manufacture."
Synthetic Materials,"Man-made materials engineered through chemical processes, including plastics, resins, synthetic fibers (like nylon and polyester), and rubbers, used extensively in various industries due to their durability and versatility."
Chemical Engineering,"A field of engineering focused on the design, optimization, and operation of processes that convert raw materials into valuable products, involving activities like chemical production, process development, and the implementation of safety and environmental controls."
Fertilizers,"Substances added to soil to supply essential nutrients to plants, typically including nitrogen, phosphorus, and potassium, available in various forms like granular, liquid, and slow-release to enhance plant growth and agricultural productivity."
"Biopesticides, Animal Hormones, and Other Agrichemicals","All other agrichemicals such as biopesticides, hormones for crop protection and preparation, and any otherwise unclassified agrichemicals."
Pesticides,"All chemical herbicides, insecticides, fungicides, and other biocides for mass application and crop protection. This includes chemicals such as glyphosphates, and neonicitinoids. This excludes biopesticides, non-biocidal crop protections, or other pest management solutions."
Gases Distilled From Air,"Gases separated and extracted from the atmosphere such as oxygen, nitrogen, argon, and carbon dioxide for use in a variety of industries and products."
Hydrogen and Ammonia,"Hydrogen and ammonia produced and sold for industrial manufacture such as the Haber process, hydrogenation, and for use as an energy fuel."
Refrigerants and Other Industrial Gases,All otherwise unclassified industrial gases.
Steam,"Vaporized water used primarily as a heating medium or for generating power, especially in industrial processes and electrical generation via turbines. All steam produced and sold for industrial purposes."
Enzymes and Biochemicals,"Production of biologically-sourced chemicals and feedstocks such as enzymes, cellulose derivatives, and compostable biobased plastics for use in industry. This excludes biological derivatives for agriculture, probiotics, and food enzymes covered in other product groups."
Fine Chemicals,"High-purity, single, complex chemical substances produced in limited quantities by multipurpose plants using specialized and sophisticated manufacturing processes, typically used as ingredients in pharmaceuticals, agrochemicals, and biotechnology applications."
"Bricks, Clay, and Clay Derivatives","Building materials primarily used in construction, including various types of bricks (such as fired or unfired), and products derived from clay, like tiles and terracotta, known for their durability and insulation properties."
"Cement, Concrete, and Cement Derivatives","Fundamental materials used in construction that include cement as a binder in concrete, along with derivatives like mortar and grout, critical for building structures due to their strength and hardening properties."
Construction Metals,"All metal construction components such as I beams, girdirs, scaffolding, and other structural or architectural metals."
Insulation Products,"All mineral wools and insulation products, such as fiberglass, metal wools, and insulation foams."
Refractory Minerals,"All heat-resistant and other specialist engineering materials for use in industrial settings, such as for handling molten metals"
Road Building Materials,Asphalt and other construction materials for road construction and paving
Sand and Gravel,"All sand, gravel, slate and other quarried rock materials for use in construction."
Wood Construction Products,"All wooden construction products such as timber beams and plywood, as well as prefabricated structrues."
Glass Packaging and Containers,"All packaging and containers made from glass, such as jars and bottles."
Metal Packaging and Containers,All packaging and containers made from metals such as cans and barrels.
Plastic Packaging and Containers,All packaging and containers made from plastics such as film wrapping.
Wood and Paper Packaging,"All packaging and containers made from wood, paper, cardboard and other fibres, such as boxes and crates."
Aluminum and Aluminum Ore,Sales of both raw aluminum ore as well as refined aluminum and its alloys for use in a number of industries.
"Copper, Copper Ore and Copper Alloys","Sales of both raw copper ores, as well as refined copper and its alloys for use in a number of industries."
Diversified Mining,Mining activites across a wide or otherwise unclassified set of metals and minerals.
Diversified Refining and Alloying,Refinement and alloying of diversified or otherwise unclassified materials for use in industrial manufacture.
Mining Support Services,"All support services and industries surrounding the mining industry, such as prospecting and decomissioning."
Gold and Gold Ore,"Sales of both raw gold ores, as well as refined gold and its alloys for use in a number of industries."
Other Metals,"Sales in any otherwise unclassified metal as an ore, refined, or as an alloy, for use in a number of industries."
Precious Minerals,"Sales of precious minerals such as diamonds, rubies, and other gemstones for use both in industry and for jewelry."
"Precious, Radioactive, and Rare-Earth Metals","Sales of precious, radioactive, and rare-earth metals, both as raw ores and in refined or alloyed form. These include metals such as lithium, nickel, colbalt, and uranium, used in purposes typically to do with electronics, batteries, and energy production."
Silver and Silver Ore,"Sales of both raw silver ores, as well as refined silver and its alloys for use in a number of industries."
Steel and Related Products,"Sales of both raw iron ores, as well as refined iron, steel, and its alloys for use in a number of industries."
Steel Related Services,"All steel processing services such as coating, engaving, and acid-treating."
Zinc and Zinc Ore,"Sales of both raw zinc ores, as well as refined zinc and its alloys for use in a number of industries."
Forest Products and Services,"All other forestry products and services, as well as the processing and sale of derived wood products from logging."
Logging,All wood-harvesting activities and services from forestry systems.
Paper and Related Products,"All paper products, as well as derivatives from the paper industry such as wood pulp."
"Health Care Property Acquisition, Development, Leasing and Management","Acquisition, development, leasing and/or management of health care properties, including hospitals, laboratories, clinics and retirement homes"
"Hotel and Resort Acquisition, Development, Leasing and Management","Acquisition, development, leasing and/or management of hotel and resort properties"
"Industrial Property Acquisition, Development, Leasing and Management","The process of purchasing, developing, leasing, and managing properties intended for industrial use, such as factories, warehouses, and distribution centers, focusing on maximizing occupancy, rental income, and property value."
"Office Acquisition, Development, Leasing and Management","Business activities involving the buying and developing of office properties, leasing them to tenants, and managing these properties to ensure profitability, tenant satisfaction, and property maintenance."
"Residential Property Acquisition, Development, Leasing and Management","The business processes related to purchasing, developing, leasing, and managing residential properties, such as apartments, houses, and condominiums, focusing on tenant acquisition, property maintenance, and profitability."
"Retail Property Acquisition, Development, Leasing and Management","Acquisition, development, leasing and/or management of retail and other commerical properties"
"Specialized Property Acquisition, Development, Leasing and Management","Acquisition, development, leasing and/or management of specialised properties"
Real Estate Services,"All services relating to real estate activities, such as real estate advisory, consulting, land valuations, leasing support, and development services."
Electrical Utilities With Greenhouse Gas Emissions,"Typically involving the combustion of fossil fuels such as coal, natural gas, and oil. "
Electrical Utilities Without Greenhouse Gas Emissions,"Generation of electricity using methods that do not emit greenhouse gases, including renewable energy sources such as solar, wind, hydroelectric, and nuclear power"
"Power Distribution, Storage and Grid Maintenance",Distribution and storage of electricity for sale generally in a regulated market and maintenance of underlying infrastructure
"Gas Network Supply, Management, and Maintenance","Supply, maintenance of management of gas network for sale generally in a regulated market and maintenence of underlying infrastructure"
Diversified Utilities,"All diversified or otherwise unclassified utilities that provide a variety of utility services, including electricity, gas, and water, often operating across multiple regions or sectors, and possibly integrating renewable and non-renewable energy sources to meet a broad range of consumer needs."
Wastewater Management,"Products and services related to the collection, treatment, and reuse of wastewater, including industrial water filtration."
Water Supply and Sourcing,"Provision of water by public utilities, commercial organisations, community endeavors or by individuals, usually via a system of pumps and pipes"
Eliminations,"All non-sale corrections to revenues, such as accounting for intersegment overlap, operational income sources, business travel, or other internal business activites."
